Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43.0,No,Travel_Frequently,422.0,Research & Development,1.0,3,Life Sciences,4,Female,33,3,2,Healthcare Representative,4,Married,5562,21782,4,No,13,3,2,1,12,2,2,5,2,2,2
38.0,No,Travel_Frequently,1391.0,Research & Development,10.0,1,Medical,3,Male,66,3,1,Research Scientist,3,Married,2684,12127,0,No,17,3,2,1,3,0,2,2,1,0,2
33.0,No,Travel_Rarely,516.0,Research & Development,8.0,5,Life Sciences,4,Male,69,3,2,Healthcare Representative,3,Single,6388,22049,2,Yes,17,3,1,0,14,6,3,0,0,0,0
53.0,No,Travel_Rarely,661.0,Sales,7.0,2,Marketing,1,Female,78,2,3,Sales Executive,4,Married,10934,20715,7,Yes,18,3,4,1,35,3,3,5,2,0,4
43.0,No,Travel_Frequently,1082.0,Research & Development,27.0,3,Life Sciences,3,Female,83,3,3,Manufacturing Director,1,Married,10820,11535,8,No,11,3,3,1,18,1,3,8,7,0,1
42.0,No,Travel_Rarely,269.0,Research & Development,2.0,3,Medical,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Yes,11,3,3,1,10,4,3,9,6,7,8
29.0,Yes,Travel_Rarely,318.0,Research & Development,8.0,4,Other,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Yes,11,3,4,0,7,4,2,7,7,0,7
29.0,No,Travel_Rarely,657.0,Research & Development,27.0,3,Medical,2,Female,66,3,2,Healthcare Representative,3,Married,4335,25549,4,No,12,3,1,1,11,3,2,8,7,1,1
37.0,No,Travel_Rarely,408.0,Research & Development,19.0,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0
50.0,No,Travel_Frequently,1115.0,Research & Development,1.0,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7
29.0,No,Non-Travel,746.0,Sales,2.0,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2
33.0,No,Travel_Frequently,515.0,Research & Development,1.0,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12
55.0,No,Non-Travel,444.0,Research & Development,2.0,1,Medical,3,Male,40,2,4,Manager,1,Single,16756,17323,7,No,15,3,2,0,31,3,4,9,7,6,2
51.0,No,Travel_Rarely,1469.0,Research & Development,8.0,4,Life Sciences,2,Male,81,2,3,Research Director,2,Married,12490,15736,5,No,16,3,4,2,16,5,1,10,9,4,7
30.0,No,Travel_Frequently,1312.0,Research & Development,23.0,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,No,25,4,3,3,10,2,2,10,7,0,9
49.0,No,Travel_Rarely,1098.0,Research & Development,4.0,2,Medical,1,Male,85,2,5,Manager,3,Married,18711,12124,2,No,13,3,3,1,23,2,4,1,0,0,0
47.0,No,Travel_Frequently,1379.0,Research & Development,16.0,4,Medical,3,Male,64,4,2,Manufacturing Director,3,Divorced,5067,6759,1,Yes,19,3,3,0,20,3,4,19,10,2,7
31.0,No,Travel_Rarely,1082.0,Research & Development,1.0,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0
47.0,No,Travel_Rarely,207.0,Research & Development,9.0,4,Life Sciences,2,Female,64,3,1,Laboratory Technician,3,Single,2105,5411,4,No,12,3,3,0,7,2,3,2,2,2,0
58.0,No,Travel_Rarely,848.0,Research & Development,23.0,4,Life Sciences,1,Male,88,3,1,Research Scientist,3,Divorced,2372,26076,1,No,12,3,4,2,2,3,3,2,2,2,2
41.0,Yes,Travel_Rarely,1360.0,Research & Development,12.0,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8
29.0,No,Travel_Rarely,468.0,Research & Development,28.0,4,Medical,4,Female,73,2,1,Research Scientist,1,Single,3785,8489,1,No,14,3,2,0,5,3,1,5,4,0,4
50.0,No,Travel_Rarely,1207.0,Research & Development,28.0,1,Medical,4,Male,74,4,1,Laboratory Technician,3,Married,3221,3297,1,Yes,11,3,3,3,20,3,3,20,8,3,8
32.0,No,Travel_Rarely,267.0,Research & Development,29.0,4,Life Sciences,3,Female,49,2,1,Laboratory Technician,2,Single,2837,15919,1,No,13,3,3,0,6,3,3,6,2,4,1
44.0,No,Travel_Rarely,1313.0,Research & Development,7.0,3,Medical,2,Female,31,3,5,Research Director,4,Divorced,19049,3549,0,Yes,14,3,4,1,23,4,2,22,7,1,10
38.0,No,Travel_Rarely,433.0,Human Resources,1.0,3,Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,No,13,3,4,1,7,2,4,7,6,5,0
45.0,No,Travel_Rarely,252.0,Research & Development,2.0,3,Life Sciences,2,Female,95,2,1,Research Scientist,3,Single,2274,6153,1,No,14,3,4,0,1,3,3,1,0,0,0
46.0,No,Travel_Frequently,1034.0,Research & Development,18.0,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,5,No,11,3,4,0,28,3,2,2,2,1,2
34.0,No,Travel_Rarely,181.0,Research & Development,2.0,4,Medical,4,Male,97,4,1,Research Scientist,4,Married,2932,5586,0,Yes,14,3,1,3,6,3,3,5,0,1,2
55.0,No,Travel_Frequently,135.0,Research & Development,18.0,4,Medical,3,Male,62,3,2,Healthcare Representative,2,Married,6385,12992,3,Yes,14,3,4,2,17,3,3,8,7,6,7
19.0,No,Travel_Rarely,265.0,Research & Development,25.0,3,Life Sciences,2,Female,57,4,1,Research Scientist,4,Single,2994,21221,1,Yes,12,3,4,0,1,2,3,1,0,0,1
32.0,No,Travel_Rarely,427.0,Research & Development,1.0,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
40.0,No,Non-Travel,663.0,Research & Development,9.0,4,Other,3,Male,81,3,2,Laboratory Technician,3,Divorced,3975,23099,3,No,11,3,3,2,11,2,4,8,7,0,7
30.0,No,Travel_Rarely,1334.0,Sales,4.0,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7
48.0,No,Travel_Rarely,1469.0,Research & Development,20.0,4,Medical,4,Male,51,3,1,Research Scientist,3,Married,2259,5543,4,No,17,3,1,2,13,2,2,0,0,0,0
45.0,No,Non-Travel,1195.0,Research & Development,2.0,2,Medical,1,Male,65,2,4,Manager,4,Married,16792,20462,9,No,23,4,4,1,22,1,3,20,8,11,8
29.0,No,Travel_Frequently,806.0,Research & Development,1.0,4,Life Sciences,2,Male,76,1,1,Research Scientist,4,Divorced,2720,18959,1,No,18,3,4,1,10,5,3,10,7,2,8
46.0,No,Travel_Rarely,1003.0,Research & Development,8.0,4,Life Sciences,4,Female,74,2,2,Research Scientist,1,Divorced,4615,21029,8,Yes,23,4,1,3,19,2,3,16,13,1,7
41.0,No,Travel_Rarely,549.0,Research & Development,7.0,2,Medical,4,Female,42,3,2,Manufacturing Director,3,Single,5003,23371,6,No,14,3,2,0,8,6,3,2,2,2,1
41.0,Yes,Travel_Rarely,1356.0,Sales,20.0,2,Marketing,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Yes,22,4,4,0,4,5,2,4,3,0,2
52.0,No,Travel_Frequently,322.0,Research & Development,28.0,2,Medical,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Yes,11,3,2,1,24,3,2,5,3,0,2
51.0,No,Travel_Frequently,1456.0,Research & Development,1.0,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,No,20,4,3,0,23,1,2,13,12,12,8
36.0,No,Travel_Rarely,1157.0,Sales,2.0,4,Life Sciences,3,Male,70,3,1,Sales Representative,4,Single,2644,17001,3,Yes,21,4,4,0,7,3,2,3,2,1,2
38.0,Yes,Travel_Rarely,1180.0,Research & Development,29.0,1,Medical,2,Male,70,3,2,Healthcare Representative,1,Married,6673,11354,7,Yes,19,3,2,0,17,2,3,1,0,0,0
31.0,No,Travel_Frequently,715.0,Sales,2.0,4,Other,4,Male,54,3,2,Sales Executive,1,Single,5332,21602,7,No,13,3,4,0,10,3,3,5,2,0,3
44.0,No,Travel_Rarely,1488.0,Sales,1.0,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3
31.0,Yes,Travel_Frequently,1060.0,Sales,1.0,3,Life Sciences,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,1,Yes,11,3,1,0,3,2,4,3,2,2,2
27.0,Yes,Travel_Rarely,135.0,Research & Development,17.0,4,Life Sciences,4,Female,51,3,1,Research Scientist,3,Single,2394,25681,1,Yes,13,3,4,0,8,2,3,8,2,7,7
50.0,No,Travel_Rarely,328.0,Research & Development,1.0,3,Medical,3,Male,86,2,1,Laboratory Technician,3,Married,3690,3425,2,No,15,3,4,1,5,2,2,3,2,0,2
39.0,No,Travel_Rarely,1329.0,Sales,4.0,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,No,14,3,3,1,17,1,4,15,11,5,9
30.0,No,Non-Travel,879.0,Research & Development,9.0,2,Medical,3,Female,72,3,2,Manufacturing Director,3,Single,4695,12858,7,Yes,18,3,3,0,10,3,3,8,4,1,7
30.0,No,Travel_Rarely,852.0,Research & Development,1.0,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0
59.0,No,Non-Travel,1420.0,Human Resources,2.0,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844,21922,9,No,21,4,4,1,30,3,3,3,2,2,2
36.0,No,Non-Travel,427.0,Research & Development,8.0,3,Life Sciences,1,Female,63,4,3,Research Director,1,Married,11713,20335,9,No,14,3,1,1,10,2,3,8,7,0,5
30.0,Yes,Travel_Frequently,448.0,Sales,12.0,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,2033,14470,1,No,18,3,3,1,1,2,4,1,0,0,0
50.0,No,Travel_Rarely,1452.0,Research & Development,11.0,3,Life Sciences,3,Female,53,3,5,Manager,2,Single,19926,17053,3,No,15,3,2,0,21,5,3,5,4,4,4
37.0,No,Travel_Rarely,1017.0,Research & Development,1.0,2,Medical,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,No,14,3,1,1,17,2,2,3,1,0,2
38.0,No,Travel_Rarely,849.0,Research & Development,25.0,2,Life Sciences,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,No,17,3,3,1,19,2,3,10,8,0,1
41.0,No,Non-Travel,267.0,Sales,10.0,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10
29.0,No,Travel_Rarely,590.0,Research & Development,4.0,3,Technical Degree,4,Female,91,2,1,Research Scientist,1,Divorced,2109,10007,1,No,13,3,3,1,1,2,3,1,0,0,0
45.0,No,Travel_Rarely,549.0,Research & Development,8.0,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8
29.0,No,Travel_Rarely,136.0,Research & Development,1.0,3,Life Sciences,1,Male,89,3,2,Healthcare Representative,1,Married,5373,6225,0,No,12,3,1,1,6,5,2,5,3,0,2
42.0,No,Travel_Rarely,469.0,Research & Development,2.0,2,Medical,4,Male,35,3,4,Manager,1,Married,17665,14399,0,No,17,3,4,1,23,3,3,22,6,13,7
48.0,No,Travel_Rarely,715.0,Research & Development,1.0,3,Life Sciences,4,Male,76,2,5,Research Director,4,Single,18265,8733,6,No,12,3,3,0,25,3,4,1,0,0,0
20.0,Yes,Travel_Frequently,871.0,Research & Development,6.0,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0
31.0,No,Travel_Rarely,1274.0,Research & Development,9.0,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,No,25,4,4,1,13,6,4,13,8,0,8
41.0,No,Non-Travel,552.0,Human Resources,4.0,3,Human Resources,3,Male,60,1,2,Human Resources,2,Married,6430,20794,6,No,19,3,2,1,10,4,3,3,2,1,2
29.0,Yes,Travel_Rarely,350.0,Human Resources,13.0,3,Human Resources,1,Male,56,2,1,Human Resources,1,Divorced,2335,3157,4,Yes,15,3,4,3,4,3,3,2,2,2,0
42.0,No,Travel_Rarely,647.0,Sales,4.0,4,Marketing,2,Male,45,3,2,Sales Executive,1,Single,5155,2253,7,No,13,3,4,0,9,3,4,6,4,1,5
36.0,No,Travel_Rarely,1120.0,Sales,11.0,4,Marketing,2,Female,100,2,2,Sales Executive,4,Married,6652,14369,4,No,13,3,1,1,8,2,2,6,3,0,0
32.0,Yes,Travel_Rarely,964.0,Sales,1.0,2,Life Sciences,1,Male,34,1,2,Sales Executive,2,Single,6735,12147,6,No,15,3,2,0,10,2,3,0,0,0,0
36.0,No,Travel_Rarely,1351.0,Research & Development,26.0,4,Life Sciences,1,Male,80,3,2,Healthcare Representative,3,Married,5347,7419,6,No,14,3,2,2,10,2,2,3,2,0,2
42.0,No,Travel_Rarely,201.0,Research & Development,1.0,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2
43.0,No,Travel_Rarely,1034.0,Sales,16.0,3,Marketing,4,Female,80,3,4,Manager,4,Married,16064,7744,5,Yes,22,4,3,1,22,3,3,17,13,1,9
36.0,No,Travel_Rarely,530.0,Sales,2.0,4,Life Sciences,3,Female,51,3,2,Sales Representative,4,Single,4502,7439,3,No,15,3,3,0,17,2,2,13,7,6,7
36.0,No,Non-Travel,1105.0,Research & Development,24.0,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,1,11,3,3,9,8,0,8
36.0,No,Travel_Frequently,1467.0,Sales,11.0,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,No,14,3,3,1,10,6,3,9,7,2,8
38.0,No,Travel_Frequently,1189.0,Research & Development,1.0,3,Life Sciences,4,Male,90,3,2,Research Scientist,4,Married,4735,9867,7,No,15,3,4,2,19,4,4,13,11,2,9
33.0,No,Travel_Rarely,1198.0,Research & Development,1.0,4,Other,3,Male,100,2,1,Research Scientist,1,Single,2799,3339,3,Yes,11,3,2,0,6,1,3,3,2,0,2
45.0,No,Travel_Frequently,1199.0,Research & Development,7.0,4,Life Sciences,1,Male,77,4,2,Manufacturing Director,3,Married,6434,5118,4,No,17,3,4,1,9,1,3,3,2,0,2
27.0,No,Travel_Rarely,511.0,Sales,2.0,2,Medical,1,Female,89,4,2,Sales Executive,3,Single,6500,26997,0,No,14,3,2,0,9,5,2,8,7,0,7
34.0,Yes,Travel_Rarely,790.0,Sales,24.0,4,Medical,1,Female,40,2,2,Sales Executive,2,Single,4599,7815,0,Yes,23,4,3,0,16,2,4,15,9,10,10
29.0,No,Travel_Rarely,1328.0,Research & Development,2.0,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4
32.0,No,Travel_Rarely,1093.0,Sales,6.0,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7
44.0,No,Travel_Rarely,136.0,Research & Development,28.0,3,Life Sciences,4,Male,32,3,4,Research Director,1,Married,16328,22074,3,No,13,3,3,1,24,1,4,20,6,14,17
40.0,No,Travel_Rarely,302.0,Research & Development,6.0,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13
55.0,No,Travel_Rarely,1117.0,Sales,18.0,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,16835,9873,3,No,23,4,4,0,37,2,3,10,9,7,7
41.0,No,Travel_Frequently,840.0,Research & Development,9.0,3,Medical,1,Male,64,3,5,Research Director,3,Divorced,19419,3735,2,No,17,3,2,1,21,2,4,18,16,0,11
38.0,No,Travel_Rarely,437.0,Sales,16.0,3,Life Sciences,2,Female,90,3,2,Sales Executive,2,Single,4198,16379,2,No,12,3,2,0,8,5,4,3,2,1,2
29.0,Yes,Travel_Rarely,428.0,Sales,9.0,3,Marketing,2,Female,52,1,1,Sales Representative,2,Single,2760,14630,1,No,13,3,3,0,2,3,3,2,2,2,2
45.0,No,Travel_Rarely,193.0,Research & Development,6.0,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0
34.0,No,Travel_Rarely,1153.0,Research & Development,1.0,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3
38.0,No,Travel_Frequently,693.0,Research & Development,7.0,3,Life Sciences,4,Male,57,4,1,Research Scientist,3,Divorced,2610,15748,1,No,11,3,4,3,4,2,3,4,2,0,3
55.0,No,Travel_Rarely,111.0,Sales,1.0,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0
40.0,No,Travel_Rarely,884.0,Research & Development,15.0,3,Life Sciences,1,Female,80,2,3,Manufacturing Director,3,Married,10435,25800,1,No,13,3,4,2,18,2,3,18,15,14,12
20.0,No,Travel_Rarely,727.0,Sales,9.0,1,Life Sciences,4,Male,54,3,1,Sales Representative,1,Single,2728,21082,1,No,11,3,1,0,2,3,3,2,2,0,2
33.0,Yes,Travel_Rarely,587.0,Research & Development,10.0,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,No,13,3,1,3,8,2,3,4,3,1,3
31.0,No,Travel_Rarely,1222.0,Research & Development,11.0,4,Life Sciences,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,Yes,19,3,2,1,8,2,3,6,4,0,2
40.0,No,Travel_Rarely,1492.0,Research & Development,20.0,4,Technical Degree,1,Male,61,3,3,Healthcare Representative,4,Married,10322,26542,4,No,20,4,4,1,14,6,3,11,10,11,1
50.0,No,Travel_Frequently,1421.0,Research & Development,2.0,3,Medical,4,Female,30,3,4,Manager,1,Married,17856,9490,2,No,22,4,3,1,32,3,3,2,2,2,2
27.0,No,Travel_Frequently,591.0,Research & Development,2.0,3,Medical,4,Male,87,3,1,Research Scientist,4,Single,2580,6297,2,No,13,3,3,0,6,0,2,4,2,1,2
36.0,No,Travel_Rarely,1383.0,Research & Development,10.0,3,Life Sciences,4,Male,90,3,3,Healthcare Representative,1,Married,8321,25949,7,Yes,13,3,4,1,15,1,3,12,8,5,7
53.0,No,Travel_Rarely,447.0,Research & Development,2.0,3,Medical,4,Male,39,4,4,Research Director,2,Single,16598,19764,4,No,12,3,2,0,35,2,2,9,8,8,8
42.0,No,Travel_Rarely,1128.0,Research & Development,13.0,3,Medical,2,Male,95,4,2,Healthcare Representative,1,Married,5538,5696,5,No,18,3,3,2,10,2,2,0,0,0,0
37.0,No,Non-Travel,1040.0,Research & Development,2.0,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
43.0,No,Travel_Rarely,589.0,Research & Development,14.0,2,Life Sciences,2,Male,94,3,4,Research Director,1,Married,17159,5200,6,No,24,4,3,1,22,3,3,4,1,1,0
23.0,No,Travel_Rarely,373.0,Research & Development,1.0,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,1223,16901,1,No,22,4,4,1,1,2,3,1,0,0,1
52.0,No,Travel_Rarely,258.0,Research & Development,8.0,4,Other,3,Female,54,3,1,Laboratory Technician,1,Married,2950,17363,9,No,13,3,3,0,12,2,1,5,4,0,4
29.0,No,Travel_Rarely,1010.0,Research & Development,1.0,3,Life Sciences,1,Female,97,3,1,Research Scientist,4,Divorced,3760,5598,1,No,15,3,1,3,3,5,3,3,2,1,2
50.0,No,Travel_Rarely,989.0,Research & Development,7.0,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
42.0,No,Travel_Rarely,635.0,Sales,1.0,1,Life Sciences,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,0,20,3,3,20,16,11,6
34.0,No,Travel_Rarely,628.0,Research & Development,8.0,3,Medical,2,Male,82,4,2,Laboratory Technician,3,Married,4404,10228,2,No,12,3,1,0,6,3,4,4,3,1,2
27.0,No,Travel_Rarely,1469.0,Research & Development,1.0,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4
37.0,Yes,Travel_Frequently,504.0,Research & Development,10.0,3,Medical,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,No,11,3,2,2,17,5,3,1,0,0,0
33.0,No,Non-Travel,1313.0,Research & Development,1.0,2,Medical,2,Male,59,2,1,Laboratory Technician,3,Divorced,2008,20439,1,No,12,3,3,3,1,2,2,1,1,0,0
36.0,No,Travel_Rarely,1299.0,Research & Development,27.0,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7
39.0,No,Travel_Frequently,443.0,Research & Development,8.0,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,No,11,3,1,1,8,3,3,8,3,0,7
36.0,No,Non-Travel,1229.0,Sales,8.0,4,Technical Degree,1,Male,84,3,2,Sales Executive,4,Divorced,5079,25952,4,No,13,3,4,2,12,3,3,7,7,0,7
36.0,No,Travel_Rarely,676.0,Research & Development,1.0,3,Other,3,Female,35,3,2,Manufacturing Director,2,Married,5228,23361,0,No,15,3,1,1,10,2,3,9,7,0,5
37.0,No,Travel_Rarely,1305.0,Research & Development,10.0,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1
51.0,No,Travel_Frequently,237.0,Sales,9.0,3,Life Sciences,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Yes,24,4,1,1,31,5,2,29,10,11,10
49.0,No,Travel_Rarely,301.0,Research & Development,22.0,4,Other,1,Female,72,3,4,Research Director,2,Married,16413,3498,3,No,16,3,2,2,27,2,3,4,2,1,2
43.0,Yes,Travel_Frequently,807.0,Research & Development,17.0,3,Technical Degree,3,Male,38,2,1,Research Scientist,3,Married,2437,15587,9,Yes,16,3,4,1,6,4,3,1,0,0,0
33.0,No,Travel_Frequently,970.0,Sales,7.0,3,Life Sciences,4,Female,30,3,2,Sales Executive,2,Married,4302,13401,0,No,17,3,3,1,4,3,3,3,2,0,2
46.0,No,Travel_Rarely,566.0,Research & Development,7.0,2,Medical,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,6,No,13,3,2,1,13,3,3,8,7,0,7
56.0,Yes,Travel_Rarely,1162.0,Research & Development,24.0,2,Life Sciences,1,Male,97,3,1,Laboratory Technician,4,Single,2587,10261,1,No,16,3,4,0,5,3,3,4,2,1,0
32.0,No,Travel_Frequently,689.0,Sales,9.0,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,0,No,17,3,4,3,9,2,4,8,7,0,7
30.0,Yes,Travel_Rarely,740.0,Sales,1.0,3,Life Sciences,2,Male,64,2,2,Sales Executive,1,Married,9714,5323,1,No,11,3,4,1,10,4,3,10,8,6,7
27.0,No,Travel_Rarely,1055.0,Research & Development,2.0,4,Life Sciences,1,Female,47,3,2,Manufacturing Director,4,Married,4227,4658,0,No,18,3,2,1,4,2,3,3,2,2,2
42.0,No,Travel_Rarely,1396.0,Research & Development,6.0,3,Medical,3,Male,83,3,3,Research Director,1,Married,13348,14842,9,No,13,3,2,1,18,3,4,13,7,5,7
20.0,Yes,Travel_Rarely,1097.0,Research & Development,11.0,3,Medical,4,Female,98,2,1,Research Scientist,1,Single,2600,18275,1,Yes,15,3,1,0,1,2,3,1,0,0,0
50.0,No,Travel_Rarely,316.0,Sales,8.0,4,Marketing,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,No,15,3,4,1,4,2,3,2,2,2,2
19.0,Yes,Travel_Rarely,303.0,Research & Development,2.0,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,No,22,4,3,0,1,3,2,1,0,1,0
31.0,No,Travel_Rarely,1154.0,Sales,2.0,2,Life Sciences,1,Male,54,3,1,Sales Representative,3,Married,3067,6393,0,No,19,3,3,1,3,1,3,2,2,1,2
29.0,No,Travel_Frequently,1404.0,Sales,20.0,3,Technical Degree,3,Female,84,3,1,Sales Representative,4,Married,2157,18203,1,No,15,3,2,1,3,5,3,3,1,0,2
42.0,No,Travel_Rarely,1142.0,Research & Development,8.0,3,Life Sciences,4,Male,81,3,1,Laboratory Technician,3,Single,3968,13624,4,No,13,3,4,0,8,3,3,0,0,0,0
36.0,No,Travel_Rarely,1266.0,Sales,10.0,4,Technical Degree,2,Female,63,2,2,Sales Executive,3,Married,5673,6060,1,Yes,13,3,1,1,10,4,3,10,9,1,7
42.0,Yes,Travel_Frequently,481.0,Sales,12.0,3,Life Sciences,3,Male,44,3,4,Sales Executive,1,Single,13758,2447,0,Yes,12,3,2,0,22,2,2,21,9,13,14
46.0,No,Travel_Rarely,1402.0,Sales,2.0,3,Marketing,3,Female,69,3,4,Manager,1,Married,17048,24097,8,No,23,4,1,0,28,2,3,26,15,15,9
39.0,No,Travel_Rarely,722.0,Sales,24.0,1,Marketing,2,Female,60,2,4,Sales Executive,4,Married,12031,8828,0,No,11,3,1,1,21,2,2,20,9,9,6
30.0,No,Travel_Rarely,1358.0,Research & Development,24.0,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0
36.0,No,Travel_Rarely,172.0,Research & Development,4.0,4,Life Sciences,1,Male,37,2,2,Laboratory Technician,4,Single,5810,22604,1,No,16,3,3,0,10,2,2,10,4,1,8
41.0,Yes,Travel_Rarely,1085.0,Research & Development,2.0,4,Life Sciences,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,Yes,13,3,3,1,10,1,2,7,7,1,0
22.0,No,Non-Travel,457.0,Research & Development,26.0,2,Other,2,Female,85,2,1,Research Scientist,3,Married,2814,10293,1,Yes,14,3,2,0,4,2,2,4,2,1,3
21.0,Yes,Travel_Frequently,756.0,Sales,1.0,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2
41.0,No,Travel_Rarely,509.0,Research & Development,7.0,2,Technical Degree,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,No,13,3,3,0,10,3,3,10,6,0,8
29.0,No,Travel_Frequently,995.0,Research & Development,2.0,1,Life Sciences,1,Male,87,3,2,Healthcare Representative,4,Divorced,8853,24483,1,No,19,3,4,1,6,0,4,6,4,1,3
51.0,No,Travel_Rarely,833.0,Research & Development,1.0,3,Life Sciences,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,No,11,3,2,0,1,0,2,1,0,0,0
